Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3,P35612,81 kDa,TRUE,unknown,343,390,372,398,290,297,0,2
Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1,P01834,12 kDa,,unknown,314,275,277,214,229,204,144,306
Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,P02768,69 kDa,,unknown,55,91,74,103,84,88,415,836
Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2,P35611,81 kDa,TRUE,unknown,285,311,288,314,239,254,0,1
Tropomodulin-1 OS=Homo sapiens GN=TMOD1 PE=1 SV=1,P28289,41 kDa,,unknown,293,309,281,278,279,271,0,0
Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=3,P01871,49 kDa,TRUE,unknown,76,105,56,86,66,74,296,825
Glycophorin-C OS=Homo sapiens GN=GYPC PE=1 SV=1,P04921,14 kDa,,unknown,261,232,218,211,191,192,13,3
Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,P55072,89 kDa,TRUE,unknown,3,39,66,95,4,22,467,524
Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2,P00915,29 kDa,,unknown,24,28,28,32,34,29,440,555
Protein argonaute-2 OS=Homo sapiens GN=AGO2 PE=1 SV=3,Q9UKV8,97 kDa,,unknown,201,194,187,177,180,172,60,28
Blood group Rh(CE) polypeptide OS=Homo sapiens GN=RHCE PE=1 SV=2,P18577,46 kDa,TRUE,unknown,197,176,183,185,198,187,72,86
Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5,P32119,22 kDa,TRUE,unknown,11,71,149,160,52,77,278,300
ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,P53396,121 kDa,,unknown,73,91,148,164,204,221,58,24
Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2,P02042,16 kDa,TRUE,unknown,161,160,138,177,252,226,1900,1934
Ammonium transporter Rh type A OS=Homo sapiens GN=RHAG PE=1 SV=2,Q02094,44 kDa,,unknown,120,115,125,125,137,113,34,34
Kell blood group glycoprotein OS=Homo sapiens GN=KEL PE=1 SV=2,P23276,83 kDa,,unknown,125,130,116,124,121,112,39,17
Keratin type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3,P13647,62 kDa,TRUE,unknown,117,190,153,180,203,153,242,149
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,P11142,71 kDa,TRUE,unknown,57,65,67,78,75,67,184,216
Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3 PE=1 SV=2,P01860,41 kDa,TRUE,unknown,234,250,251,223,198,195,75,155
Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,P62979,18 kDa,,unknown,83,81,77,77,74,75,41,41
Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1,P61224,21 kDa,TRUE,unknown,115,162,119,113,75,93,52,70
Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,P04040,60 kDa,,unknown,0,3,52,66,17,21,319,280
Aquaporin-1 OS=Homo sapiens GN=AQP1 PE=1 SV=3,P29972,29 kDa,,unknown,83,110,81,116,97,91,3,7
Equilibrative nucleoside transporter 1 OS=Homo sapiens GN=SLC29A1 PE=1 SV=3,Q99808,50 kDa,,unknown,90,102,97,90,72,92,9,7
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3,P62873,37 kDa,TRUE,unknown,102,91,84,80,89,97,80,94
Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2,B9A064,23 kDa,TRUE,unknown,82,91,80,72,65,62,78,159
Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1,P63000,21 kDa,TRUE,unknown,95,89,78,56,70,69,65,46
2'3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2,P09543,48 kDa,,unknown,98,102,94,91,85,72,47,38
Ras-related protein Rap-2b OS=Homo sapiens GN=RAP2B PE=1 SV=1,P61225,21 kDa,TRUE,unknown,111,117,80,106,80,92,38,53
Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2,P05089,35 kDa,TRUE,unknown,144,136,103,96,75,69,0,7
Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens GN=ATP2B4 PE=1 SV=2,P23634,138 kDa,TRUE,unknown,105,107,93,99,78,79,33,11
Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4,17 kDa,,unknown,79,90,82,81,68,73,47,53
Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3,P20073,53 kDa,,unknown,40,65,134,94,50,37,39,87
Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3,P01023,163 kDa,TRUE,unknown,0,0,0,0,0,0,144,353
Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1,P61026,23 kDa,TRUE,unknown,67,86,78,79,70,64,35,42
Urea transporter 1 OS=Homo sapiens GN=SLC14A1 PE=1 SV=2,Q13336,43 kDa,,unknown,84,93,75,88,86,90,5,0
Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3,P30043,22 kDa,,unknown,34,36,40,43,37,34,134,197
CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1,P13987,14 kDa,,unknown,78,70,81,53,70,64,53,49
Erythroid membrane-associated protein OS=Homo sapiens GN=ERMAP PE=1 SV=1,Q96PL5,53 kDa,TRUE,unknown,89,78,85,73,77,68,1,0
Keratin type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4,P08779,51 kDa,TRUE,unknown,60,145,102,128,113,89,121,82
Complement C4-B OS=Homo sapiens GN=C4B PE=1 SV=2,P0C0L5,193 kDa,TRUE,unknown,21,18,17,12,14,10,86,258
Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=1 SV=4,Q00796,38 kDa,,unknown,102,92,91,79,64,54,0,0
Glycophorin-A OS=Homo sapiens GN=GYPA PE=1 SV=2,P02724,16 kDa,,unknown,67,55,57,59,56,67,43,29
Small integral membrane protein 1 OS=Homo sapiens GN=SMIM1 PE=1 SV=1,B2RUZ4,9 kDa,,unknown,59,45,59,51,55,39,17,7
Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2,O94919,55 kDa,,unknown,81,81,88,71,85,82,0,0
Hemoglobin subunit gamma-2 OS=Homo sapiens GN=HBG2 PE=1 SV=2,P69892,16 kDa,TRUE,unknown,20,35,24,46,34,38,486,628
Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2,P60953,21 kDa,TRUE,unknown,48,60,49,39,52,48,87,87
Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3,P04899,40 kDa,TRUE,unknown,54,69,57,54,63,61,66,43
C4b-binding protein alpha chain OS=Homo sapiens GN=C4BPA PE=1 SV=2,P04003,67 kDa,TRUE,unknown,29,41,24,33,41,43,48,98
Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,P00918,29 kDa,,unknown,6,3,2,1,2,4,154,177
Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1,P61006,24 kDa,TRUE,unknown,82,95,72,84,68,63,6,33
Ras-related protein Rab-35 OS=Homo sapiens GN=RAB35 PE=1 SV=1,Q15286,23 kDa,TRUE,unknown,88,96,76,73,81,72,9,22
Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2,P01024,187 kDa,,unknown,0,0,2,0,4,3,116,221
Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1,O75326,75 kDa,,unknown,26,26,32,25,30,21,89,74
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens GN=PIP4K2A PE=1 SV=2,P48426,46 kDa,TRUE,unknown,32,42,52,56,37,42,33,28
Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,P35579,227 kDa,TRUE,unknown,12,50,48,100,12,50,45,9
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=2,P06753,33 kDa,TRUE,unknown,55,49,52,56,42,32,0,0
Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,Q00610,192 kDa,TRUE,unknown,8,27,71,51,2,8,141,50
Basigin OS=Homo sapiens GN=BSG PE=1 SV=2,P35613,42 kDa,,unknown,67,65,61,57,61,58,10,3
Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5,P17931,26 kDa,,unknown,69,59,47,46,48,59,3,12
Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,P07237,57 kDa,,unknown,56,62,55,54,50,53,0,0
E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1,Q5T4S7,574 kDa,TRUE,unknown,4,71,85,140,0,21,0,0
GTPase KRas OS=Homo sapiens GN=KRAS PE=1 SV=1,P01116,22 kDa,TRUE,unknown,53,50,55,45,48,48,15,15
Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2,P01876,38 kDa,TRUE,unknown,11,13,4,6,6,2,64,224
Transforming protein RhoA OS=Homo sapiens GN=RHOA PE=1 SV=1,P61586,22 kDa,,unknown,43,48,40,24,33,36,41,39
Actin alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1,P68032 (+1),42 kDa,TRUE,unknown,129,132,148,143,139,140,0,0
Keratin type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4,P02533,52 kDa,TRUE,unknown,68,126,104,114,130,110,148,111
Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3,P02787,77 kDa,TRUE,unknown,0,0,0,0,0,0,113,210
Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,Q86YZ3,282 kDa,,unknown,4,18,23,26,42,22,93,64
Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47 PE=1 SV=1,Q08722,35 kDa,,unknown,44,54,47,51,39,46,13,4
NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3,P00387,34 kDa,,unknown,47,49,42,49,45,53,0,0
Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,P23284,24 kDa,TRUE,unknown,36,48,41,42,43,41,0,2
Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,Q5JWF2,111 kDa,TRUE,unknown,31,40,35,41,37,36,58,84
Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2,O60488,79 kDa,TRUE,unknown,41,38,35,38,34,30,32,14
Ig gamma-2 chain C region OS=Homo sapiens GN=IGHG2 PE=1 SV=2,P01859,36 kDa,TRUE,unknown,191,141,162,136,130,118,86,160
CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens GN=CNRIP1 PE=1 SV=1,Q96F85,19 kDa,,unknown,28,28,48,41,42,42,34,32
Basal cell adhesion molecule OS=Homo sapiens GN=BCAM PE=1 SV=2,P50895,67 kDa,,unknown,27,53,24,43,20,36,45,42
Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,P30101,57 kDa,,unknown,47,48,49,47,40,43,0,0
Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3,P46459,83 kDa,TRUE,unknown,0,2,3,0,0,0,152,119
Ig kappa chain V-III region SIE OS=Homo sapiens PE=1 SV=1,P01620,12 kDa,TRUE,unknown,54,37,35,22,22,17,16,54
Acetylcholinesterase OS=Homo sapiens GN=ACHE PE=1 SV=1,P22303,68 kDa,,unknown,16,18,18,20,17,10,92,100
Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3,P02749,38 kDa,,unknown,50,45,43,39,41,38,0,0
cAMP-dependent protein kinase catalytic subunit alpha OS=Homo sapiens GN=PRKACA PE=1 SV=2,P17612,41 kDa,TRUE,unknown,42,52,46,42,35,43,0,0
Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2,P51148,23 kDa,TRUE,unknown,37,45,48,42,39,35,16,7
Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,P27797,48 kDa,,unknown,36,38,38,47,37,41,0,0
Phospholipid scramblase 1 OS=Homo sapiens GN=PLSCR1 PE=1 SV=1,O15162,35 kDa,,unknown,34,40,39,34,29,31,10,13
Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1,P0CG06,11 kDa,TRUE,unknown,67,68,69,45,47,38,43,140
cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1,P10644,43 kDa,TRUE,unknown,40,46,30,37,30,40,0,0
LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1,O43813,45 kDa,,unknown,29,38,38,43,39,45,0,0
Keratin type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3,P48668,60 kDa,TRUE,unknown,49,170,83,149,181,96,209,93
Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4,P02751,263 kDa,,unknown,0,0,0,0,0,0,125,113
Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,P26599,57 kDa,TRUE,unknown,30,47,38,43,33,36,0,0
Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,P26038,68 kDa,TRUE,unknown,4,10,7,5,5,6,82,88
Solute carrier family 40 member 1 OS=Homo sapiens GN=SLC40A1 PE=1 SV=1,Q9NP59,63 kDa,,unknown,37,33,30,34,27,30,4,17
Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,P50395,51 kDa,,unknown,0,0,0,3,0,0,116,99
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens GN=GNG5 PE=1 SV=3,P63218,7 kDa,,unknown,39,38,32,30,25,35,14,22
ATP-binding cassette sub-family B member 6 mitochondrial OS=Homo sapiens GN=ABCB6 PE=1 SV=1,Q9NP58,94 kDa,,unknown,28,42,32,60,35,53,0,0
Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2,P02671,95 kDa,TRUE,unknown,0,0,0,0,0,0,60,153
Calpain-5 OS=Homo sapiens GN=CAPN5 PE=1 SV=2,O15484,73 kDa,,unknown,42,37,32,30,30,32,12,7
Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,P08107,70 kDa,TRUE,unknown,14,14,19,26,25,19,84,111
Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens GN=DAAM1 PE=1 SV=2,Q9Y4D1,123 kDa,TRUE,unknown,14,12,12,13,5,0,103,59
Reticulon-3 OS=Homo sapiens GN=RTN3 PE=1 SV=2,O95197,113 kDa,TRUE,unknown,16,28,38,28,26,31,0,0
Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2,P02675,56 kDa,,unknown,0,0,0,0,0,0,81,145
Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3,P62820,23 kDa,TRUE,unknown,31,44,41,50,40,37,56,60
Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1,P02647,31 kDa,,unknown,6,12,16,22,12,18,27,94
Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2,Q13228,52 kDa,,unknown,0,0,0,0,0,0,113,90
Piezo-type mechanosensitive ion channel component 1 OS=Homo sapiens GN=PIEZO1 PE=1 SV=4,Q92508,287 kDa,,unknown,49,40,35,37,32,32,0,0
SH3 domain-binding glutamic acid-rich-like protein 2 OS=Homo sapiens GN=SH3BGRL2 PE=1 SV=2,Q9UJC5,12 kDa,,unknown,32,48,20,30,17,22,0,0
Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3,Q9P0L0,28 kDa,TRUE,unknown,30,28,26,38,35,32,0,0
Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4,O75695,40 kDa,,unknown,25,28,26,36,20,26,16,19
Receptor expression-enhancing protein 5 OS=Homo sapiens GN=REEP5 PE=1 SV=3,Q00765,21 kDa,,unknown,40,40,38,36,32,31,0,0
Ig gamma-4 chain C region OS=Homo sapiens GN=IGHG4 PE=1 SV=1,P01861,36 kDa,TRUE,unknown,88,70,67,63,64,0,59,105
Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4,P08174,41 kDa,TRUE,unknown,24,18,14,15,17,14,46,51
Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2,P04114,516 kDa,,unknown,0,0,0,0,0,0,17,125
Q9P243-DECOY,Q9P243-DECOY,?,,unknown,1,0,0,0,0,0,3,3
Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens GN=GNA13 PE=1 SV=2,Q14344,44 kDa,TRUE,unknown,23,32,17,27,25,29,4,10
T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,P50991,58 kDa,,unknown,6,23,36,50,33,48,0,0
Intercellular adhesion molecule 4 OS=Homo sapiens GN=ICAM4 PE=2 SV=1,Q14773,29 kDa,,unknown,37,32,43,33,41,29,1,0
C-1-tetrahydrofolate synthase cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3,P11586,102 kDa,,unknown,73,60,32,26,8,3,0,0
Atlastin-3 OS=Homo sapiens GN=ATL3 PE=1 SV=1,Q6DD88,61 kDa,,unknown,33,43,32,39,30,32,0,0
CD5 antigen-like OS=Homo sapiens GN=CD5L PE=1 SV=1,O43866,38 kDa,,unknown,0,3,0,1,0,1,24,145
CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens GN=CISD2 PE=1 SV=1,Q8N5K1,15 kDa,,unknown,34,37,30,31,30,34,0,0
AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3,O95782,108 kDa,TRUE,unknown,30,27,33,30,26,20,7,3
Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4,P09525,36 kDa,,unknown,30,22,42,31,49,24,0,1
Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1,P13716,36 kDa,,unknown,4,14,30,40,12,19,40,41
Deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2,Q9Y315,35 kDa,,unknown,9,28,37,46,29,39,0,3
T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2,Q99832,59 kDa,,unknown,6,28,27,52,31,49,0,0
Leucine-rich repeat-containing protein 57 OS=Homo sapiens GN=LRRC57 PE=1 SV=1,Q8N9N7,27 kDa,TRUE,unknown,31,27,25,18,35,28,2,0
Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,O75396,25 kDa,,unknown,33,38,33,36,32,29,0,0
Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3,P28074,28 kDa,,unknown,9,33,44,56,12,20,6,12
DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4,P25685,38 kDa,TRUE,unknown,21,19,27,20,31,21,4,0
Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2,P60891,35 kDa,,unknown,0,14,34,35,36,39,6,11
L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,P07195,37 kDa,TRUE,unknown,0,0,3,5,1,3,72,69
Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,P00738,45 kDa,TRUE,unknown,0,0,0,0,0,0,55,131
Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens GN=TMED2 PE=1 SV=1,Q15363,23 kDa,,unknown,30,28,24,20,26,32,0,0
Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3,Q15836,11 kDa,,unknown,38,32,37,40,24,25,0,0
Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,Q9UL25,24 kDa,,unknown,36,27,31,17,35,30,2,1
Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1,P62834,21 kDa,TRUE,unknown,113,162,128,73,81,98,27,57
Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,P30041,25 kDa,,unknown,0,0,3,7,0,4,75,80
Ras-related protein Ral-B OS=Homo sapiens GN=RALB PE=1 SV=1,P11234,23 kDa,TRUE,unknown,27,29,31,33,20,25,9,3
Estradiol 17-beta-dehydrogenase 12 OS=Homo sapiens GN=HSD17B12 PE=1 SV=2,Q53GQ0,34 kDa,,unknown,29,27,27,23,30,27,0,0
AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,P63010,105 kDa,TRUE,unknown,20,15,30,29,30,24,5,0
Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Homo sapiens GN=GABARAPL2 PE=1 SV=1,P60520,14 kDa,TRUE,unknown,33,28,22,31,22,22,0,0
Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2,P20618,26 kDa,,unknown,1,31,43,46,3,20,1,7
Casein kinase I isoform alpha OS=Homo sapiens GN=CSNK1A1 PE=1 SV=2,P48729,39 kDa,,unknown,34,38,30,25,24,27,1,0
F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4,P47756,31 kDa,,unknown,25,26,25,23,38,36,0,0
Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3,P02679,52 kDa,,unknown,0,0,0,0,0,0,49,107
ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,P84077,21 kDa,TRUE,unknown,8,7,7,8,8,8,32,53
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3,P62879,37 kDa,TRUE,unknown,49,52,49,43,55,56,21,7
Ig kappa chain V-I region EU OS=Homo sapiens PE=1 SV=1,P01598,12 kDa,TRUE,unknown,17,13,12,11,11,10,5,15
Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2,P50570,98 kDa,,unknown,9,17,27,32,40,34,0,0
Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3,P01009,47 kDa,TRUE,unknown,0,0,0,0,0,0,51,104
Cytochrome b reductase 1 OS=Homo sapiens GN=CYBRD1 PE=1 SV=1,Q53TN4,32 kDa,,unknown,14,21,16,13,14,14,5,1
78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,P11021,72 kDa,TRUE,unknown,38,35,30,33,29,29,0,0
Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,P25787,26 kDa,TRUE,unknown,0,30,40,49,3,12,0,0
SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1,O75368,13 kDa,,unknown,30,17,25,28,18,15,0,2
CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3,P16070,82 kDa,TRUE,unknown,19,22,11,20,14,19,14,29
Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,P00558,45 kDa,,unknown,0,0,16,9,15,17,57,39
